Year,Disease Name,Number of Diagnoses
2019,Throat Cancer,"749,279"
2020,Throat Cancer,"749,254"
2001,Asthma,"31,354"
2002,Asthma,"30,821"
2003,Asthma,"29,768"
2004,Asthma,"30,189"
2005,Asthma,"32,621"
2006,Asthma,"34,132"
2007,Asthma,"34,008"
2008,Asthma,"38,450"
2009,Asthma,"39,930"
2010,Asthma,"39,191"
2011,Asthma,"39,504"
2012,Asthma,"39,982"
2013,Asthma,"37,328"
2014,Asthma,"40,461"
2015,Asthma,"40,153"
2016,Asthma,"43,344"
2017,Asthma,"42,652"
2018,Asthma,"41,935"
2019,Asthma,"41,393"
2020,Asthma,"42,518"
