State,Year,Month,Condition,BeneficiaryCount,PercentageOfBeneficiaries,DataQuality
Alabama,2021,202102,Respiratory infection NOS,"15,820",1.2,
Alabama,2021,202102,Suspected COVID-19 diagnosis,128,0.0,
Alabama,2021,202103,Acute bronchitis,"1,688",0.1,
Alabama,2021,202103,Acute respiratory distress syndrome,239,0.0,
Alabama,2021,202103,Bronchitis NOS,565,0.0,
Alabama,2021,202103,COVID-19 diagnosis,"2,269",0.2,
Alabama,2021,202103,Influenza,455,0.0,
Alabama,2021,202103,Lower or acute respiratory infection,120,0.0,
Alabama,2021,202103,Pneumonia,"1,824",0.1,
Alabama,2021,202103,Respiratory infection NOS,"13,649",1.1,
Alabama,2021,202103,Suspected COVID-19 diagnosis,81,0.0,
Alabama,2021,202104,Acute bronchitis,"2,336",0.2,
Alabama,2021,202104,Acute respiratory distress syndrome,215,0.0,
Alabama,2021,202104,Bronchitis NOS,729,0.1,
Alabama,2021,202104,COVID-19 diagnosis,"1,987",0.2,
Alabama,2021,202104,Influenza,428,0.0,
Alabama,2021,202104,Lower or acute respiratory infection,144,0.0,
Alabama,2021,202104,Pneumonia,"1,967",0.2,
Alabama,2021,202104,Respiratory infection NOS,"18,502",1.4,
Alabama,2021,202104,Suspected COVID-19 diagnosis,112,0.0,
Alabama,2021,202105,Acute bronchitis,"3,140",0.2,
Alabama,2021,202105,Acute respiratory distress syndrome,236,0.0,
Alabama,2021,202105,Bronchitis NOS,962,0.1,
Alabama,2021,202105,COVID-19 diagnosis,"1,638",0.1,
Alabama,2021,202105,Influenza,503,0.0,
Alabama,2021,202105,Lower or acute respiratory infection,214,0.0,
Alabama,2021,202105,Pneumonia,"2,367",0.2,
Alabama,2021,202105,Respiratory infection NOS,"23,100",1.8,
Alabama,2021,202105,Suspected COVID-19 diagnosis,160,0.0,
Alabama,2021,202106,Acute bronchitis,"2,061",0.2,
Alabama,2021,202106,Acute respiratory distress syndrome,243,0.0,
Alabama,2021,202106,Bronchitis NOS,746,0.1,
Alabama,2021,202106,COVID-19 diagnosis,"1,152",0.1,
Alabama,2021,202106,Influenza,295,0.0,
Alabama,2021,202106,Lower or acute respiratory infection,173,0.0,
Alabama,2021,202106,Pneumonia,"2,105",0.2,
Alabama,2021,202106,Respiratory infection NOS,"16,585",1.3,
Alabama,2021,202106,Suspected COVID-19 diagnosis,134,0.0,
Alabama,2021,202107,Acute bronchitis,"1,640",0.1,
Alabama,2021,202107,Acute respiratory distress syndrome,251,0.0,
Alabama,2021,202107,Bronchitis NOS,668,0.1,
Alabama,2021,202107,COVID-19 diagnosis,"4,254",0.3,
Alabama,2021,202107,Influenza,287,0.0,
Alabama,2021,202107,Lower or acute respiratory infection,141,0.0,
Alabama,2021,202107,Pneumonia,"2,003",0.2,
Alabama,2021,202107,Respiratory infection NOS,"15,891",1.2,
Alabama,2021,202107,Suspected COVID-19 diagnosis,88,0.0,
Alabama,2021,202108,Acute bronchitis,"2,446",0.2,
Alabama,2021,202108,Acute respiratory distress syndrome,331,0.0,
Alabama,2021,202108,Bronchitis NOS,772,0.1,
Alabama,2021,202108,COVID-19 diagnosis,"20,342",1.5,
Alabama,2021,202108,Influenza,695,0.1,
Alabama,2021,202108,Lower or acute respiratory infection,320,0.0,
Alabama,2021,202108,Pneumonia,"2,520",0.2,
Alabama,2021,202108,Respiratory infection NOS,"32,385",2.5,
Alabama,2021,202108,Suspected COVID-19 diagnosis,388,0.0,
Alabama,2021,202109,Acute bronchitis,"2,408",0.2,
Alabama,2021,202109,Acute respiratory distress syndrome,285,0.0,
Alabama,2021,202109,Bronchitis NOS,707,0.1,
Alabama,2021,202109,COVID-19 diagnosis,"13,400",1.0,
Alabama,2021,202109,Influenza,625,0.0,
Alabama,2021,202109,Lower or acute respiratory infection,248,0.0,
Alabama,2021,202109,Pneumonia,"2,461",0.2,
Alabama,2021,202109,Respiratory infection NOS,"26,862",2.0,
Alabama,2021,202109,Suspected COVID-19 diagnosis,173,0.0,
Alabama,2021,202110,Acute bronchitis,"2,486",0.2,
Alabama,2021,202110,Acute respiratory distress syndrome,234,0.0,
Alabama,2021,202110,Bronchitis NOS,865,0.1,
Alabama,2021,202110,COVID-19 diagnosis,"4,188",0.3,
Alabama,2021,202110,Influenza,509,0.0,
Alabama,2021,202110,Lower or acute respiratory infection,257,0.0,
Alabama,2021,202110,Pneumonia,"2,080",0.2,
Alabama,2021,202110,Respiratory infection NOS,"25,020",1.9,
Alabama,2021,202110,Suspected COVID-19 diagnosis,76,0.0,
Alabama,2021,202111,Acute bronchitis,"4,092",0.3,
Alabama,2021,202111,Acute respiratory distress syndrome,229,0.0,
Alabama,2021,202111,Bronchitis NOS,"1,278",0.1,
Alabama,2021,202111,COVID-19 diagnosis,"2,355",0.2,
Alabama,2021,202111,Influenza,"1,746",0.1,
Alabama,2021,202111,Lower or acute respiratory infection,383,0.0,
Alabama,2021,202111,Pneumonia,"2,634",0.2,
Alabama,2021,202111,Respiratory infection NOS,"34,848",2.6,
Alabama,2021,202111,Suspected COVID-19 diagnosis,44,0.0,
Alabama,2021,202112,Acute bronchitis,"3,600",0.3,
Alabama,2021,202112,Acute respiratory distress syndrome,260,0.0,
Alabama,2021,202112,Bronchitis NOS,"1,198",0.1,
Alabama,2021,202112,COVID-19 diagnosis,"6,715",0.5,
Alabama,2021,202112,Influenza,"9,251",0.7,
Alabama,2021,202112,Lower or acute respiratory infection,268,0.0,
Alabama,2021,202112,Pneumonia,"2,923",0.2,
Alabama,2021,202112,Respiratory infection NOS,"31,463",2.3,
Alabama,2021,202112,Suspected COVID-19 diagnosis,101,0.0,
Alabama,2022,202201,Acute bronchitis,"2,682",0.2,
Alabama,2022,202201,Acute respiratory distress syndrome,284,0.0,
Alabama,2022,202201,Bronchitis NOS,836,0.1,
Alabama,2022,202201,COVID-19 diagnosis,"35,724",2.6,
Alabama,2022,202201,Influenza,"3,130",0.2,
Alabama,2022,202201,Lower or acute respiratory infection,247,0.0,
Alabama,2022,202201,Pneumonia,"2,448",0.2,
Alabama,2022,202201,Respiratory infection NOS,"31,086",2.3,
Alabama,2022,202201,Suspected COVID-19 diagnosis,454,0.0,
Alabama,2022,202202,Acute bronchitis,"1,723",0.1,
Alabama,2022,202202,Acute respiratory distress syndrome,205,0.0,
Alabama,2022,202202,Bronchitis NOS,559,0.0,
Alabama,2022,202202,COVID-19 diagnosis,"6,106",0.4,
Alabama,2022,202202,Influenza,"4,473",0.3,
Alabama,2022,202202,Lower or acute respiratory infection,177,0.0,
Alabama,2022,202202,Pneumonia,"1,999",0.1,
Alabama,2022,202202,Respiratory infection NOS,"19,327",1.4,
Alabama,2022,202202,Suspected COVID-19 diagnosis,144,0.0,
Alabama,2022,202203,Acute bronchitis,"1,826",0.1,
Alabama,2022,202203,Acute respiratory distress syndrome,179,0.0,
Alabama,2022,202203,Bronchitis NOS,626,0.0,
Alabama,2022,202203,COVID-19 diagnosis,"1,809",0.1,
Alabama,2022,202203,Influenza,"5,232",0.4,
Alabama,2022,202203,Lower or acute respiratory infection,162,0.0,
Alabama,2022,202203,Pneumonia,"1,846",0.1,
Alabama,2022,202203,Respiratory infection NOS,"19,459",1.4,
Alabama,2022,202203,Suspected COVID-19 diagnosis,63,0.0,
Alabama,2022,202204,Acute bronchitis,"1,787",0.1,
